Smiles,pIC50_calc,Molecule ChEMBL ID,Molecule Name,MW,LogP,HBD,HBA,QED
C1=C/CNc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,5.481486060122113,CHEMBL1947161,,344.4180000000001,4.637800000000003,2.0,5.0,0.5819918321181894
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cc(co2)COC/1,6.958607314841775,CHEMBL2035181,,462.5500000000002,4.557800000000004,1.0,8.0,0.5654571212286086
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,7.337242168318426,CHEMBL2035185,CT-1578,462.5500000000002,4.557800000000004,1.0,8.0,0.5654571212286086
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,7.744727494896693,CHEMBL2035052,,473.57700000000017,4.612100000000003,1.0,8.0,0.5503377889129704
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cncc(c2)COC/1,6.537602002101044,CHEMBL2035051,,473.57700000000017,4.359800000000004,1.0,8.0,0.5600607085662757
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2coc(c2)COC/1,7.173925197299173,CHEMBL2035186,,462.5500000000002,4.557800000000004,1.0,8.0,0.5654571212286086
C1=C/COCc2ccc(o2)-c2ccnc(n2)Nc2cccc(c2)COC/1,6.657577319177793,CHEMBL2035048,,349.39000000000016,4.0832000000000015,1.0,6.0,0.6167678883039786
C1=C/COCc2cncc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,6.031517051446065,CHEMBL2035046,,360.41700000000014,3.885200000000002,1.0,6.0,0.6136301087470265
C1=C/COc2ccc(o2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)COC/1,7.337242168318426,CHEMBL4228766,,448.5230000000004,4.420000000000003,1.0,8.0,0.5876735543010262
C1=C/Cn2ccc3ccc(cc32)-c2ccnc(n2)Nc2cccc(c2)COC/1,6.823908740944319,CHEMBL2035043,,368.44000000000017,4.928300000000005,1.0,5.0,0.4473163626330303
C1=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)OCC1,5.920818753952375,CHEMBL2181315,,359.42900000000014,4.994800000000003,1.0,5.0,0.5728490815038852
C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,7.080921907623926,CHEMBL2181322,,443.5510000000002,3.8998000000000026,2.0,7.0,0.5528937886938208
C1=CCOCc2cc(ccc2N2CCOCC2)Nc2nccc(n2)-c2cccc(c2)COC1,7.221848749616356,CHEMBL2181321,,444.5350000000002,4.326800000000003,1.0,7.0,0.5605604191931938
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCCC3)c2)COC1,7.318758762624412,CHEMBL2181083,,472.58900000000045,4.964800000000003,1.0,7.0,0.5381350943617236
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCOCC3)c2)COC1,7.017728766960431,CHEMBL2181084,,488.5880000000005,4.201200000000003,1.0,8.0,0.5478047761665162
C1=CCOc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1,6.638272163982407,CHEMBL2181316,,345.40200000000016,4.604700000000004,1.0,5.0,0.6033144232030628
C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,7.894220140471368,CHEMBL2035187,PACRITINIB,472.58900000000017,4.466800000000004,1.0,7.0,0.6655052785203615
C=C(Br)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,6.049635145623877,CHEMBL3651017,,415.2470000000002,3.6487000000000016,2.0,5.0,0.4899617796959825
C=C(C#N)C(O)c1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,6.623400042900292,CHEMBL4644662,,359.3890000000001,2.8579800000000004,2.0,6.0,0.6819142576228145
